,Name,Address,Price
0,Ajihei Bushwick,"156 Knickerbocker Ave, Brooklyn, NY 11237",$$
1,Buntopia,"994 Broadway, Brooklyn, NY 11221",$$
2,ICHIRAN - Brooklyn,"374 Johnson Ave, Brooklyn, NY 11206",$$
3,Samurai Papa,"32 Varet St, Brooklyn, NY 11206",$$
4,YUJI Ramen,"150 Ainslie St, Brooklyn, NY 11211",$$
5,Nana Ramen,"330 Malcolm X Blvd, Brooklyn, NY 11233",$$
6,Ramen Setagaya,"280 Bedford Ave, Brooklyn, NY 11249",$$
7,RYUJIN,"513 Grand St, Brooklyn, NY 11211",$$
8,Ramen Andante,"130 Grand St, Brooklyn, NY 11249",$$
9,Dock Asian Eatery,"22 Wyckoff Ave, Brooklyn, NY 11237",$$
10,Ramen Spot,"760 Manhattan Ave, Brooklyn, NY 11222",$$
11,Chuko,"565 Vanderbilt Ave, Brooklyn, NY 11238",$$
12,Kuma NYC,"1520 Myrtle Ave, Brooklyn, NY 11237",$$
13,Lucy's Vietnamese Bushwick,"262 Irving Ave, Bushwick, NY 11237",$$
14,Samurai Papa BS,"594 Lafayette Ave, Brooklyn, NY 11216",$$
15,Wanpaku,"621 Manhattan Ave, Brooklyn, NY 11222",$$
16,Okonomi,"150 Ainslie St, Brooklyn, NY 11211",$$
17,Sushi & Noodles,"274 Troutman St, Brooklyn, NY 11237",$$
18,Warude,"385 Tompkins Ave, Brooklyn, NY 11216",$$
19,Mo's Original,"453 Rogers Ave, Brooklyn, NY 11225",$$
20,Samurai Mama,"205 Grand St, Brooklyn, NY 11211",$$
21,Little Mo,"1158 Myrtle Ave, Brooklyn, NY 11221",$$
22,Momo Sushi Shack,"43 Bogart St, Brooklyn, NY 11206",$$
23,Minami Lounge,"299 S 4th St, Brooklyn, NY 11211",$$
24,Ozi Dumplings,"19 Bogart St, Brooklyn, NY 11206",$$
25,Darlings,"242 Himrod St, Brooklyn, NY 11237",$
26,Fukuyama Sushi & Ramen,"622 Metropolitan Ave, Brooklyn, NY 11211",$$
27,Osakana,"290 Graham Ave, Brooklyn, NY 11211",$$
28,Jin Ramen Sushi,"66-41 Fresh Pond Rd, Ridgewood, NY 11385",$$
29,Gentle Perch,"112 Graham Ave, Brooklyn, NY 11206",$$
30,Win Son,"159 Graham Ave, Brooklyn, NY 11206",$$
31,19 Cafe,"84 Manhattan Ave, New York, NY 11206",$
32,Chingoo Restaurant,"373 Graham Ave, Brooklyn, NY 11211",$$
33,Baoburg,"614 Manhattan Ave, Brooklyn, NY 11222",$$
34,Amami Bar and Restaurant,"57 Nassau Ave, Brooklyn, NY 11222",$$
35,Mission Chinese Food,"599 Johnson Ave, Brooklyn, NY 11237",$$
36,Suzume,"545 Lorimer St, Brooklyn, NY 11211",$$
37,Falansai,"112 Harrison Pl, Brooklyn, NY 11237",$$
38,Sally Roots,"195 Wyckoff Ave, Brooklyn, NY 11237",$$
39,Shalom Japan,"310 S 4th St, Brooklyn, NY 11211",$$$
40,hanon,"436 Union Ave, Brooklyn, NY 11211",$$
41,Bunker,"99 Scott Ave, Brooklyn, NY 11237",$$
42,Slow Loris,"556 Flatbush Ave, Brooklyn, NY 11225",$$
43,U-gu,"541 Myrtle Ave, Ste B, Brooklyn, NY 11205",$$
44,Garlic To the Chicken,"66-92 Forest Ave, Ridgewood, NY 11385",$
45,Trad Room,"266 Malcolm X Blvd, Brooklyn, NY 11233",$$
46,Nostrand Cafe,"261 Nostrand Ave, Bedford-Stuyvesant, NY 11216",$$
47,750 Myrtle Diner,"750 Myrtle Ave, Brooklyn, NY 11205",$$
48,Snacky,"187 Grand St, Brooklyn, NY 11211",$$
49,Maya Bed Stuy,"563 Gates Ave, Brooklyn, NY 11221",$$
